etf_x,etf_y,date_start,date_end,shared_contract
VAW,VIS,2024-09-04,2024-09-30,538APPROVEMAX-24SEP30-T43
VAW,VCR,2024-09-04,2024-09-30,538APPROVEMAX-24SEP30-T43
VIS,VCR,2024-09-04,2024-09-30,538APPROVEMAX-24SEP30-T43
VIS,VGT,2024-09-06,2024-09-26,AAAGASM-24SEP30-US-3.15
VIS,VAW,2024-09-06,2024-09-26,AAAGASM-24SEP30-US-3.15
VIS,VCR,2024-09-06,2024-09-26,AAAGASM-24SEP30-US-3.15
VIS,VOX,2024-09-06,2024-09-26,AAAGASM-24SEP30-US-3.15
VGT,VAW,2024-09-06,2024-09-26,AAAGASM-24SEP30-US-3.15
VGT,VCR,2024-09-06,2024-09-26,AAAGASM-24SEP30-US-3.15
VGT,VOX,2024-09-06,2024-09-26,AAAGASM-24SEP30-US-3.15
VAW,VCR,2024-09-06,2024-09-26,AAAGASM-24SEP30-US-3.15
VAW,VOX,2024-09-06,2024-09-26,AAAGASM-24SEP30-US-3.15
VCR,VOX,2024-09-06,2024-09-26,AAAGASM-24SEP30-US-3.15
VDE,VNQ,2024-09-18,2024-11-07,FEDDECISION-24NOV-H0
VDC,VOX,2024-09-04,2024-09-18,FEDDECISION-24SEP-C25
VDC,VPU,2024-09-04,2024-09-18,FEDDECISION-24SEP-C25
VOX,VPU,2024-09-04,2024-09-18,FEDDECISION-24SEP-C25
VGT,VHT,2024-11-11,2024-11-25,KX538APPROVEMAX-24NOV30-T41
VFH,VNQ,2024-11-04,2024-11-29,KX538APPROVEMIN-24NOV30-T37
VFH,VDE,2024-10-31,2024-11-20,KXAAAGASM-24NOV30-US-3.30
VFH,VDC,2024-10-31,2024-11-20,KXAAAGASM-24NOV30-US-3.30
VFH,VNQ,2024-10-31,2024-11-20,KXAAAGASM-24NOV30-US-3.30
VDE,VDC,2024-10-31,2024-11-20,KXAAAGASM-24NOV30-US-3.30
VDE,VNQ,2024-10-31,2024-11-20,KXAAAGASM-24NOV30-US-3.30
VDC,VNQ,2024-10-31,2024-11-20,KXAAAGASM-24NOV30-US-3.30
VNQ,VOX,2024-11-04,2024-11-25,KXECDJT281
VNQ,VGT,2024-11-04,2024-11-25,KXECDJT281
VNQ,VCR,2024-11-04,2024-11-25,KXECDJT281
VOX,VGT,2024-11-04,2024-11-25,KXECDJT281
VOX,VCR,2024-11-04,2024-11-25,KXECDJT281
VGT,VCR,2024-11-04,2024-11-25,KXECDJT281
VFH,VIS,2024-11-04,2024-12-12,KXECDJT316
VFH,VDE,2024-11-04,2024-12-12,KXECDJT316
VIS,VDE,2024-11-04,2024-12-12,KXECDJT316
VFH,VIS,2024-11-04,2024-11-26,KXECKH276
VFH,VCR,2024-11-04,2024-11-26,KXECKH276
VFH,VDE,2024-11-04,2024-11-26,KXECKH276
VFH,VOX,2024-11-04,2024-11-26,KXECKH276
VFH,VGT,2024-11-04,2024-11-26,KXECKH276
VFH,VDC,2024-11-04,2024-11-26,KXECKH276
VFH,VAW,2024-11-04,2024-11-26,KXECKH276
VIS,VCR,2024-11-04,2024-11-26,KXECKH276
VIS,VDE,2024-11-04,2024-11-26,KXECKH276
VIS,VOX,2024-11-04,2024-11-26,KXECKH276
VIS,VGT,2024-11-04,2024-11-26,KXECKH276
VIS,VDC,2024-11-04,2024-11-26,KXECKH276
VIS,VAW,2024-11-04,2024-11-26,KXECKH276
VCR,VDE,2024-11-04,2024-11-26,KXECKH276
VCR,VOX,2024-11-04,2024-11-26,KXECKH276
VCR,VGT,2024-11-04,2024-11-26,KXECKH276
VCR,VDC,2024-11-04,2024-11-26,KXECKH276
VCR,VAW,2024-11-04,2024-11-26,KXECKH276
VDE,VOX,2024-11-04,2024-11-26,KXECKH276
VDE,VGT,2024-11-04,2024-11-26,KXECKH276
VDE,VDC,2024-11-04,2024-11-26,KXECKH276
VDE,VAW,2024-11-04,2024-11-26,KXECKH276
VOX,VGT,2024-11-04,2024-11-26,KXECKH276
VOX,VDC,2024-11-04,2024-11-26,KXECKH276
VOX,VAW,2024-11-04,2024-11-26,KXECKH276
VGT,VDC,2024-11-04,2024-11-26,KXECKH276
VGT,VAW,2024-11-04,2024-11-26,KXECKH276
VDC,VAW,2024-11-04,2024-11-26,KXECKH276
VFH,VIS,2024-10-31,2024-12-18,KXFEDDECISION-24DEC-C25
VCR,VOX,2024-09-04,2024-09-18,RATECUT-24SEP18
VCR,VGT,2024-09-04,2024-09-18,RATECUT-24SEP18
VOX,VGT,2024-09-04,2024-09-18,RATECUT-24SEP18
