contract_ticker,etf,freq,ran,n_obs,n_days,K,df,n_sig,kpos,kneg,lean
KXECKH276,VFH,30min,False,11,0,,,0,0,0,not-estimable
KXECKH276,VFH,60min,False,6,0,,,0,0,0,not-estimable
KXECDJT316,VFH,30min,False,15,0,,,0,0,0,not-estimable
KXECDJT316,VFH,60min,False,11,0,,,0,0,0,not-estimable
KXECKH276,VIS,30min,False,11,0,,,0,0,0,not-estimable
KXECKH276,VIS,60min,False,6,0,,,0,0,0,not-estimable
538APPROVEMAX-24OCT31-T43,VOX,30min,False,1,0,,,0,0,0,not-estimable
538APPROVEMAX-24OCT31-T43,VOX,60min,False,0,0,,,0,0,0,not-estimable
KXAAAGASM-24NOV30-US-3.30,VFH,30min,False,1,0,,,0,0,0,not-estimable
KXAAAGASM-24NOV30-US-3.30,VFH,60min,False,1,0,,,0,0,0,not-estimable
RATECUT-24SEP18,VCR,30min,False,12,0,,,0,0,0,not-estimable
RATECUT-24SEP18,VCR,60min,False,10,0,,,0,0,0,not-estimable
KXECKH287,VNQ,30min,False,11,0,,,0,0,0,not-estimable
KXECKH287,VNQ,60min,False,6,0,,,0,0,0,not-estimable
KXECKH276,VCR,30min,False,11,0,,,0,0,0,not-estimable
KXECKH276,VCR,60min,False,6,0,,,0,0,0,not-estimable
FEDDECISION-24SEP-C25,VDC,30min,True,90,11,6.0,66.0,0,0,0,No-sig
FEDDECISION-24SEP-C25,VDC,60min,True,47,10,5.0,26.0,1,0,1,ETF-leads
KXECKH276,VDE,30min,False,11,0,,,0,0,0,not-estimable
KXECKH276,VDE,60min,False,6,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VIS,30min,False,5,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VIS,60min,False,4,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VGT,30min,False,5,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VGT,60min,False,4,0,,,0,0,0,not-estimable
KXAAAGASM-24NOV30-US-3.30,VDE,30min,False,1,0,,,0,0,0,not-estimable
KXAAAGASM-24NOV30-US-3.30,VDE,60min,False,1,0,,,0,0,0,not-estimable
KXECKH276,VOX,30min,False,11,0,,,0,0,0,not-estimable
KXECKH276,VOX,60min,False,6,0,,,0,0,0,not-estimable
KXECKH276,VGT,30min,False,11,0,,,0,0,0,not-estimable
KXECKH276,VGT,60min,False,6,0,,,0,0,0,not-estimable
KXAAAGASM-24NOV30-US-3.30,VDC,30min,False,1,0,,,0,0,0,not-estimable
KXAAAGASM-24NOV30-US-3.30,VDC,60min,False,1,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VAW,30min,False,5,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VAW,60min,False,4,0,,,0,0,0,not-estimable
KXECKH276,VDC,30min,False,11,0,,,0,0,0,not-estimable
KXECKH276,VDC,60min,False,6,0,,,0,0,0,not-estimable
AAAGASM-24OCT31-US-3.20,VHT,30min,False,1,0,,,0,0,0,not-estimable
AAAGASM-24OCT31-US-3.20,VHT,60min,False,1,0,,,0,0,0,not-estimable
KXECDJT316,VIS,30min,False,15,0,,,0,0,0,not-estimable
KXECDJT316,VIS,60min,False,11,0,,,0,0,0,not-estimable
KXECDJT316,VDE,30min,False,15,0,,,0,0,0,not-estimable
KXECDJT316,VDE,60min,False,11,0,,,0,0,0,not-estimable
KXAAAGASM-24NOV30-US-3.30,VNQ,30min,False,1,0,,,0,0,0,not-estimable
KXAAAGASM-24NOV30-US-3.30,VNQ,60min,False,1,0,,,0,0,0,not-estimable
KX538APPROVEMAX-24NOV30-T41,VGT,30min,False,0,0,,,0,0,0,not-estimable
KX538APPROVEMAX-24NOV30-T41,VGT,60min,False,0,0,,,0,0,0,not-estimable
RATECUT-24SEP18,VOX,30min,False,12,0,,,0,0,0,not-estimable
RATECUT-24SEP18,VOX,60min,False,10,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VCR,30min,False,5,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VCR,60min,False,4,0,,,0,0,0,not-estimable
KXECKH276,VAW,30min,False,11,0,,,0,0,0,not-estimable
KXECKH276,VAW,60min,False,6,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VOX,30min,False,5,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VOX,60min,False,4,0,,,0,0,0,not-estimable
538APPROVEMAX-24SEP30-T43,VAW,30min,False,1,0,,,0,0,0,not-estimable
538APPROVEMAX-24SEP30-T43,VAW,60min,False,1,0,,,0,0,0,not-estimable
KXECDJT281,VNQ,30min,True,31,5,5.0,15.0,4,3,1,Kalshi-leads
KXECDJT281,VNQ,60min,True,18,5,4.0,4.0,1,0,1,ETF-leads
FEDDECISION-24SEP-C25,VOX,30min,True,90,11,6.0,66.0,0,0,0,No-sig
FEDDECISION-24SEP-C25,VOX,60min,True,47,10,5.0,26.0,2,1,1,Balanced/mixed
FEDDECISION-24SEP-C25,VPU,30min,True,90,11,6.0,66.0,1,1,0,Kalshi-leads
FEDDECISION-24SEP-C25,VPU,60min,True,47,10,5.0,26.0,0,0,0,No-sig
RATECUT-24SEP18,VGT,30min,False,12,0,,,0,0,0,not-estimable
RATECUT-24SEP18,VGT,60min,False,10,0,,,0,0,0,not-estimable
KX538APPROVEMIN-24NOV30-T37,VFH,30min,False,10,0,,,0,0,0,not-estimable
KX538APPROVEMIN-24NOV30-T37,VFH,60min,False,8,0,,,0,0,0,not-estimable
KX538APPROVEMAX-24NOV30-T41,VHT,30min,False,0,0,,,0,0,0,not-estimable
KX538APPROVEMAX-24NOV30-T41,VHT,60min,False,0,0,,,0,0,0,not-estimable
538APPROVEMAX-24SEP30-T43,VIS,30min,False,1,0,,,0,0,0,not-estimable
538APPROVEMAX-24SEP30-T43,VIS,60min,False,1,0,,,0,0,0,not-estimable
KXECDJT281,VOX,30min,True,31,5,5.0,15.0,5,2,3,ETF-leads
KXECDJT281,VOX,60min,True,18,5,4.0,4.0,2,2,0,Kalshi-leads
KXECDJT306,VDC,30min,True,13,3,4.0,1.0,2,0,2,ETF-leads
KXECDJT306,VDC,60min,False,13,0,,,0,0,0,not-estimable
KX538APPROVEMIN-24NOV30-T37,VNQ,30min,False,10,0,,,0,0,0,not-estimable
KX538APPROVEMIN-24NOV30-T37,VNQ,60min,False,8,0,,,0,0,0,not-estimable
KXECDJT281,VGT,30min,True,31,5,5.0,15.0,6,3,2,Kalshi-leads
KXECDJT281,VGT,60min,True,18,5,4.0,4.0,1,0,1,ETF-leads
KXECDJT312,VAW,30min,True,34,6,5.0,17.0,1,0,1,ETF-leads
KXECDJT312,VAW,60min,True,20,6,4.0,5.0,5,1,4,ETF-leads
KXECDJT281,VCR,30min,True,31,5,5.0,15.0,7,4,2,Kalshi-leads
KXECDJT281,VCR,60min,True,18,5,4.0,4.0,0,0,0,No-sig
KXFEDDECISION-24DEC-C25,VFH,30min,True,288,31,8.0,240.0,0,0,0,No-sig
KXFEDDECISION-24DEC-C25,VFH,60min,True,159,31,6.0,115.0,0,0,0,No-sig
538APPROVEMAX-24SEP30-T43,VCR,30min,False,1,0,,,0,0,0,not-estimable
538APPROVEMAX-24SEP30-T43,VCR,60min,False,1,0,,,0,0,0,not-estimable
AAAGASM-24OCT31-US-3.15,VPU,30min,False,8,0,,,0,0,0,not-estimable
AAAGASM-24OCT31-US-3.15,VPU,60min,False,8,0,,,0,0,0,not-estimable
FEDDECISION-24NOV-H0,VDE,30min,True,99,29,6.0,57.0,0,0,0,No-sig
FEDDECISION-24NOV-H0,VDE,60min,True,67,24,5.0,32.0,0,0,0,No-sig
FEDDECISION-24NOV-H0,VNQ,30min,True,99,29,6.0,57.0,0,0,0,No-sig
FEDDECISION-24NOV-H0,VNQ,60min,True,67,24,5.0,32.0,0,0,0,No-sig
KXFEDDECISION-24DEC-C25,VIS,30min,True,288,31,8.0,240.0,0,0,0,No-sig
KXFEDDECISION-24DEC-C25,VIS,60min,True,159,31,6.0,115.0,1,1,0,Kalshi-leads
KXFEDDECISION-24DEC-H0,VGT,30min,True,210,29,8.0,164.0,0,0,0,No-sig
KXFEDDECISION-24DEC-H0,VGT,60min,True,131,30,6.0,88.0,1,1,0,Kalshi-leads
